0:0:0:0:0:0:0:1 - - [10/May/2019:11:47:14 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [10/May/2019:11:47:15 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [10/May/2019:11:47:15 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:11:47:15 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [10/May/2019:11:47:15 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:11:47:15 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [10/May/2019:11:47:15 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:11:47:15 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [10/May/2019:11:47:15 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [10/May/2019:11:47:15 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:11:47:15 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [10/May/2019:11:49:17 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [10/May/2019:11:49:18 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:11:49:18 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [10/May/2019:11:49:18 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:11:49:18 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 304 -
